,topic,topic_id,bias_id,title,source,bias,desc.,nlp sentiment
0,coronavirus- Lean Left,1,1,Pfizer Will Allow Its Covid Pill to Be Made and Sold Cheaply in Poor Countries,New York Times (News), Lean Left,Pfizer announced a deal on Tuesday to allow its promising Covid-19 treatment to be made and sold inexpensively in 95 poorer nations that are home to more than...,Negative
1,coronavirus- Lean Right,1,4,CDC: No Record of Naturally Immune Transmitting COVID-19,The Epoch Times, Lean Right,The Centers for Disease Control and Prevention (CDC) says that it has no record of people who are naturally immune transmitting the virus that causes COVID-19...,Negative
2,coronavirus - moderate,1,3,COVID-19 Update: Almost Every Case Worldwide Emerges From Delta Strain,International Business Times,moderate,"First detected in India in late 2020, the COVID-19 variant known as Delta now accounts for almost every infection globally, the World Health Organization...",Positive
3,coronavirus- Lean Left,1,1,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another...",Negative
4,coronavirus- Right,1,5,Pfizer Announces Deal To Provide COVID Pill To Low-Income Countries,The Daily Wire, Right,"In an agreement announced on Tuesday, Pfizer will permit its COVID-19 pill treatment to be manufactured and sold in countries that might not be able to...",Positive
5,coronavirus - moderate,1,3,Pfizer agrees to let other companies make its COVID-19 pill,Associated Press,moderate,"Drugmaker Pfizer Inc. has signed a deal with a U.N.-backed group to allow other manufacturers to make its experimental COVID-19 pill, a move that could make...",Positive
6,coronavirus- Lean Left,1,1,Is this the fifth COVID-19 wave? Experts fear we may simply come to call it 'winter',USA TODAY, Lean Left,"For the first time in two months, COVID-19 case counts and deaths are rising again in most U.S. states, especially in the northern tier and Rocky Mountains,...",Negative
7,coronavirus- Right,1,5,How COVID Lockdowns Handed Global Warming Extremists The Tools To Crush Freedom,The Federalist, Right,"We’ve rolled out the blueprint for a society that is nominally free, but willing to throw freedom away in a crisis.

The Glasgow Climate Conference wrapped...",Positive
8,coronavirus - moderate,1,3,Pfizer to Allow Generic Drugmakers to Manufacture COVID-19 Antiviral Pill,AllSides Headline Roundup,moderate,Pharmaceutical company Pfizer announced Tuesday that it would allow generic drug companies around the world to produce its COVID-19 antiviral pill by granting...,Positive
9,coronavirus- Lean Left,1,1,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....,Positive
10,coronavirus- Lean Right,1,4,Why COVID-19 is spiking in highly vaccinated states,Deseret News, Lean Right,"The coronavirus pandemic is still going. And as we head into the winter months, there are a number of questions about what might happen in states...",Negative
11,coronavirus - moderate,1,3,8 lingering questions about the new Covid pills from Merck and Pfizer,STAT,moderate,The past two months have brought extremely good news in the fight against Covid-19. Two different oral treatments have proved effective at both preventing...,Positive
12,coronavirus- Lean Left,1,1,I wasn’t sure about getting my kids COVID vaccines — until they exposed Grandma to the virus,The Philadelphia Inquirer, Lean Left,"Frantically, I shot out of bed. My stomach was in knots, as it often was during those first few months of motherhood. My imagination on overdrive, I braced for...",Negative
13,coronavirus- Lean Right,1,4,Jobs vs. jabs: Federal court upholds stay on Biden’s ‘sledgehammer’ vaccine mandate,Deseret News, Lean Right,"A federal appeals court late Friday upheld its stay of the Biden administration’s vaccine mandate for larger businesses, saying it leaves workers with a choice...",Positive
14,coronavirus - moderate,1,3,"Dr. Fauci troubled by political divide over Covid science, says it’s hampered pandemic response",CNBC,moderate,Chief White House medical advisor Dr. Anthony Fauci said in a new interview that there is a “very disconcerting” politically partisan divide over science in...,Positive
15,vaccine-mandates- Lean Left,2,1,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another...",Negative
16,vaccine-mandates- Lean Right,2,4,Jobs vs. jabs: Federal court upholds stay on Biden’s ‘sledgehammer’ vaccine mandate,Deseret News, Lean Right,"A federal appeals court late Friday upheld its stay of the Biden administration’s vaccine mandate for larger businesses, saying it leaves workers with a choice...",Positive
17,vaccine-mandates - moderate,2,3,U.S. appeals court affirms hold on Biden COVID-19 vaccine mandate,Reuters,moderate,A U.S. appeals court on Friday affirmed its decision to put on hold an order by President Joe Biden for companies with 100 workers or more to require COVID-19...,Positive
18,vaccine-mandates- Left,2,2,"No, Workers Aren’t Striking Because of Vaccine Mandates",Jacobin, Left,There’s a meme traveling around conservative media that vaccine mandates are the cause of the ongoing strike wave. Although you certainly can find news stories...,Negative
19,vaccine-mandates- Lean Right,2,4,Senior NIH Doctor Pushes Back on COVID-19 Vaccine Mandates,The Epoch Times, Lean Right,"A top infectious disease doctor has raised alarm about COVID-19 vaccine mandates despite top federal officials recommending them for businesses,...",Positive
20,vaccine-mandates - moderate,2,3,"Oklahoma Guard goes rogue, rejects COVID vaccine mandate after sudden change of command",Military Times,moderate,The new commander of the Oklahoma National Guard has declared the organization will not enforce the Defense Department’s COVID-19 vaccine mandate on its troops...,Positive
21,vaccine-mandates- Left,2,2,DOJ asks federal appeals court to lift temporary order blocking Covid-19 vaccine mandate,CNN (Online News), Left,The Department of Justice argued Monday night against a more permanent block of the Biden administration's Covid-19 vaccine mandate in a filing to...,Positive
22,vaccine-mandates- Lean Right,2,4,VA: Religious Exemption Requests for Vaccine Won't Be Challenged,Newsmax (News), Lean Right,"The Department of Veteran Affairs (VA) will not challenge staff on religious exemption requests for the coronavirus vaccine, the Washington Examiner ...",Positive
23,vaccine-mandates - moderate,2,3,Ten states sue Biden administration over COVID-19 vaccine mandate for U.S. health workers,Reuters,moderate,Ten Republican state attorneys general sued on Wednesday to stop the Biden administration's requirement that millions of U.S. health workers get vaccinated...,Negative
24,vaccine-mandates- Left,2,2,"De Blasio slams FDNY firefighters for faking sick over vaccine mandate, vows consequences",New York Daily News, Left," 

Mayor de Blasio on Monday attacked city firefighters for feigning illness to protest vaccination mandates — and promised consequences for those who...",Negative
25,vaccine-mandates- Lean Right,2,4,Hundreds of Thousands to Go on Four-Day Nationwide Strike Over Vaccine Mandates: Organizer,The Epoch Times, Lean Right,"A nationwide strike against vaccine mandates will take place from Nov. 8 to Nov. 11, according to the main organizer for the walkout, Leigh...",Negative
26,vaccine-mandates - moderate,2,3,"Florida, Center of COVID Mandate Resistance, Has Lowest Infections Levels in U.S.",Newsweek,moderate,Florida's coronavirus case rate has dropped to among the lowest in the country as the state's Republican leaders continue to fight vaccine mandates and other...,Negative
27,vaccine-mandates- Lean Left,2,1,Jair Bolsonaro is accused of crimes against humanity in Brazil,The Economist, Lean Left,"Few brazilians had high hopes for a Senate inquiry into the country’s disastrous handling of covid-19. But its thousand-page report, leaked this week, is...",Positive
