topic_id,bias_id,topic,title,source,bias,desc.
1,1,coronavirus- Lean Left,Pfizer Will Allow Its Covid Pill to Be Made and Sold Cheaply in Poor Countries,New York Times (News), Lean Left,Pfizer announced a deal on Tuesday to allow its promising Covid-19 treatment to be made and sold inexpensively in 95 poorer nations that are home to more than...
1,1,coronavirus- Lean Left,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another..."
1,1,coronavirus- Lean Left,Is this the fifth COVID-19 wave? Experts fear we may simply come to call it 'winter',USA TODAY, Lean Left,"For the first time in two months, COVID-19 case counts and deaths are rising again in most U.S. states, especially in the northern tier and Rocky Mountains,..."
1,1,coronavirus- Lean Left,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....
1,1,coronavirus- Lean Left,I wasn’t sure about getting my kids COVID vaccines — until they exposed Grandma to the virus,The Philadelphia Inquirer, Lean Left,"Frantically, I shot out of bed. My stomach was in knots, as it often was during those first few months of motherhood. My imagination on overdrive, I braced for..."
2,1,vaccine-mandates- Lean Left,"Federal appeals court halts Biden administration’s vaccine requirement, delivering policy a major blow",Washington Post, Lean Left,"A federal appeals court in New Orleans has halted the Biden administration’s vaccine or testing requirement for private businesses, delivering another..."
2,2,vaccine-mandates- Left,"No, Workers Aren’t Striking Because of Vaccine Mandates",Jacobin, Left,There’s a meme traveling around conservative media that vaccine mandates are the cause of the ongoing strike wave. Although you certainly can find news stories...
2,2,vaccine-mandates- Left,DOJ asks federal appeals court to lift temporary order blocking Covid-19 vaccine mandate,CNN (Online News), Left,The Department of Justice argued Monday night against a more permanent block of the Biden administration's Covid-19 vaccine mandate in a filing to...
2,2,vaccine-mandates- Left,"De Blasio slams FDNY firefighters for faking sick over vaccine mandate, vows consequences",New York Daily News, Left," 

Mayor de Blasio on Monday attacked city firefighters for feigning illness to protest vaccination mandates — and promised consequences for those who..."
2,1,vaccine-mandates- Lean Left,Jair Bolsonaro is accused of crimes against humanity in Brazil,The Economist, Lean Left,"Few brazilians had high hopes for a Senate inquiry into the country’s disastrous handling of covid-19. But its thousand-page report, leaked this week, is..."
3,1,economy-jobs- Lean Left,"U.S. Retail Sales Jump by Most Since March, Topping Forecasts",Bloomberg, Lean Left,"U.S. retail sales rose in October for a third month, signaling households continue to spend even with the fastest inflation in decades. 

The value of..."
3,1,economy-jobs- Lean Left,"As supply lines strain, some corporations rewrite production playbook",Washington Post, Lean Left,"The pandemic caught Stanley Black & Decker midway through an overhaul of its 18-country supply chain.

Executives at the toolmaker’s New Britain, Conn.,..."
3,1,economy-jobs- Lean Left,Biden signs bipartisan infrastructure bill with Republicans on hand to celebrate win,ABC News (Online), Lean Left,"After months of negotiations, a massive bipartisan infrastructure bill that promises significant investments in every pocket of the country got..."
3,1,economy-jobs- Lean Left,California sets gas price record for second day running,CNN Business, Lean Left,"California gas prices hit $4.682 per gallon on Monday, setting a new record for the state for a second day in a row, according to the American Automobile..."
3,1,economy-jobs- Lean Left,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....
4,1,kyle-rittenhouse- Lean Left,Jurors Hear Closing Arguments in Kyle Rittenhouse Trial,New York Times (News), Lean Left,A prosecutor hoping to send Kyle Rittenhouse to prison made closing arguments in his homicide trial on Monday. The jury was expected to begin weighing later in...
4,1,kyle-rittenhouse- Lean Left,Kenosha hopes for calm as Kyle Rittenhouse trial nears end,NBC News (Online), Lean Left,"KENOSHA, Wis. — This city on Lake Michigan was quiet, calm and peaceful on Sunday, and many residents want it to remain that way as closing arguments in the..."
4,2,kyle-rittenhouse- Left,Kyle Rittenhouse Doesn’t Need to Be Acquitted to Win,Mother Jones, Left,"Kyle Rittenhouse was 17 when he killed two Black Lives Matter protesters in Kenosha, Wisconsin, and wounded another. Rittenhouse, who is now 18, has been..."
4,2,kyle-rittenhouse- Left,What Kyle Rittenhouse's tears reveal about America,CNN (Opinion), Left,"Despite last year's demonstrations supporting racial justice and substantive efforts at political reform, the system that devalues Black lives remains largely..."
4,2,kyle-rittenhouse- Left,Judge In Kyle Rittenhouse Trial Called Out For Strange Joke About 'Asian Food',HuffPost, Left,"The judge presiding over the Kyle Rittenhouse murder trial in Kenosha, Wisconsin, made a joke Thursday that critics slammed as racially charged and..."
5,1,inflation- Lean Left,"U.S. Retail Sales Jump by Most Since March, Topping Forecasts",Bloomberg, Lean Left,"U.S. retail sales rose in October for a third month, signaling households continue to spend even with the fastest inflation in decades. 

The value of..."
5,1,inflation- Lean Left,Inflation emerges as a 2022 campaign dividing line,Politico, Lean Left,Tight congressional races across the nation are quickly turning into battlegrounds over a key economic question: whether President Joe Biden’s spending agenda...
5,1,inflation- Lean Left,California sets gas price record for second day running,CNN Business, Lean Left,"California gas prices hit $4.682 per gallon on Monday, setting a new record for the state for a second day in a row, according to the American Automobile..."
5,2,inflation- Left,Democrats have no plan to fight housing inflation,Vox, Left,"Inflation has taken center stage, and the White House desperately wants its signature bill to be the solution.

On Wednesday, the Bureau of Labor..."
5,1,inflation- Lean Left,China has a big inflation problem and it's pushing up prices worldwide,CNN Business, Lean Left,"The cost of goods leaving China's factories surged by another record rate last month, and there are increasing signs that consumers are starting to feel the..."
6,1,white-house- Lean Left,Biden-successor chatter grows and Harris isn’t scaring off anyone,Politico, Lean Left,President Joe Biden says he intends to run for reelection in 2024. But not all Democrats believe him. Nor are they convinced his No. 2 would be the clear heir...
6,1,white-house- Lean Left,Biden to host leaders of Canada and Mexico at White House next week,CBS News (Online), Lean Left,President Biden will host Canadian Prime Minister Justin Trudeau and Mexican President Andrés Manuel López Obrador at the White House next week for the first...
6,1,white-house- Lean Left,"Biden Rejects $450,000 Payments for Separated Migrants",New York Times (News), Lean Left,President Biden on Wednesday said migrants separated from family members at the border would not receive hundreds of thousands of dollars for the damage...
6,2,white-house- Left,"'Let's go Brandon,' explained",CNN (Online News), Left,"On Friday night, a Southwest Airlines pilot allegedly said ""Let's go Brandon"" over the plane intercom, causing a stir on board and prompting an investigation..."
6,1,white-house- Lean Left,"Family Members Separated at Border May Each Get Up to $450,000",New York Times (News), Lean Left,Migrant families separated at the border by the Trump administration may be eligible to each receive hundreds of thousands of dollars in compensation for the...
7,1,facts-and-fact-checking- Lean Left,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked..."
7,2,facts-and-fact-checking- Left,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...
7,1,facts-and-fact-checking- Lean Left,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
7,1,facts-and-fact-checking- Lean Left,Canceling student loan debt would cost the federal government billions,USA TODAY, Lean Left,"Since President Joe Biden took office, his administration has canceled billions of dollars in student loan debt. Most recently, in early October..."
