topic,topic_id,bias_id,title,source,bias,desc.
Abortion- Lean Left,1,1,Biden’s Authority to Mandate Vaccines Stems From Law Protecting Workers From ‘Grave Dangers’,New York Times (News), Lean Left,President Biden’s far-reaching assertion of presidential authority to require vaccines for 80 million American workers relies on a first-of-its-kind...
Abortion- Lean Right,1,4,When Is a Constitutional Right Not a Right?,Wall Street Journal (Opinion), Lean Right,"If you want to carry a firearm in New York state, you need to convince a local official that you have “proper cause.” That’s easy in some counties but almost..."
Abortion - moderate,1,3,"Four impeachments, zero removals: Sign of cracks in Constitution?",Christian Science Monitor,moderate,"A key check on presidential power doesn’t seem to be working the way the Founding Fathers envisioned. We look where a cycle of partisanship may head.

After..."
Abortion- Lean Left,1,1,Could Trump Be ‘Reinstated’ as President in August 2021?,Snopes, Lean Left,"On June 1, 2021, New York Times reporter Maggie Haberman tweeted that former President Donald “Trump has been telling a number of people he’s in..."
Abortion- Lean Right,1,4,Why Didn't COVID-19 Kill the Constitution?,Reason, Lean Right,"We can thank judges who were prepared to enforce constitutional limits on public health powers.

The day after the nation's first COVID-19 lockdown took..."
Abortion - moderate,1,3,"After deadly Capitol riot, Trump impeachment trial to open with fight on Constitution",Reuters,moderate,"Donald Trump’s historic second impeachment trial, on a charge of inciting last month’s deadly storming of the U.S. Capitol, opens on Tuesday with a debate over..."
Abortion- Lean Left,1,1,Trump’s lawyers and the Constitution,Associated Press Politics & Fact Check, Lean Left,Lawyers for Donald Trump stretched beyond the facts when they argued there’s an open-and-shut case that the Constitution bars impeaching former presidents....
Abortion- Lean Right,1,4,Top Trump allies begin legal effort to stop federal government from trampling on constitutional rights,Washington Examiner, Lean Right,"Allies of former President Donald Trump are launching a legal team whose mission is to stop ""big tech, big media and big government"" from trampling on the..."
Abortion - moderate,1,3,Is it time to get rid of the filibuster?,Yahoo! The 360,moderate,"Democrats hold a legislative trifecta — majorities in both houses of Congress, plus the presidency — for the first time since the beginning of the Obama..."
Abortion- Lean Left,1,1,Impeachment: Republicans say ex-President Trump can't be tried but many experts disagree,USA TODAY, Lean Left,"When the Senate gathers Tuesday for the second impeachment trial of former President Donald Trump, Republicans are expected to hammer away at a longstanding..."
Abortion- Right,1,5,Policing Speech,City Journal, Right,"Amid a staggering wave of gun violence in New York City, with shootings this year measuring 42 percent higher than the same period in 2020, Mayor Bill de..."
Abortion - moderate,1,3,"Electoral College: Reform it, replace it or keep it?",Yahoo! The 360,moderate,"The members of the Electoral College on Monday cast their votes to affirm Joe Biden’s win in the 2020 presidential election, delivering a decisive blow to..."
Abortion- Left,1,2,Is it constitutional to hold an impeachment trial for a former president?,Vox, Left,"No one knows whether the Constitution permits the Senate to hold an impeachment trial for former President Donald Trump, now that he no longer holds office..."
Abortion- Right,1,5,Schiff's Defense of Impeachment Comes From....British History,Townhall, Right,"Lawyers for former President Trump will challenge the constitutionality of impeaching a private citizen in the trial that is set to begin Tuesday.

“The..."
Abortion - moderate,1,3,Could President Trump try pardoning himself?,Yahoo! The 360,moderate,President Trump’s decision to pardon former national security adviser Michael Flynn has fueled speculation that Trump may be gearing up to issue a wave of...
Bridging Divides- Lean Left,2,1,"Menace, as a Political Tool, Enters the Republican Mainstream",New York Times (News), Lean Left,"Threats of violence have become commonplace among a significant part of the party, as historians and those who study democracy warn of a dark shift in American..."
Bridging Divides- Right,2,5,"Joe Biden breaks 'ambitious' campaign promise to address student loans, proposal missing from budget",TheBlaze.com, Right,"President Joe Biden is breaking one of his central campaign promises, surely upsetting progressives who wanted Biden to unilaterally cancel the massive bill of..."
Bridging Divides - moderate,2,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...
Bridging Divides- Lean Left,2,1,You Don’t Have to Be Woke to Dislike Anti-Woke Democrats,Ed Kilgore, Lean Left,"If you have been anywhere within range of conservative talking points on either side of the Atlantic during the past few months, you are surely aware that “..."
Bridging Divides- Right,2,5,"‘People Are Going To Be Very, Very Happy When I Make A Certain Announcement!’ Donald Trump Hints At 2024 Run",The Daily Wire, Right,One question at the forefront of the minds of supporters and critics alike of former President Donald Trump is whether he will return to the campaign trail and...
Bridging Divides - moderate,2,3,Midterm-Election Ad Spending Poised to Soar as Streaming TV Attracts Campaigns,Wall Street Journal (News),moderate,"A top advertising-industry observer expects elections this year and next will see political ad expenditures of roughly $9 billion, more than doubling the..."
Bridging Divides- Left,2,2,"100 Days of Big, Bold, Partisan Change",Ezra Klein, Left,I intended to duly fulfill my duty as a political columnist and write about the first 100 days of Joe Biden’s presidency. My idea was to focus on the 50 Senate...
Bridging Divides- Lean Right,2,4,When Wokeness Becomes Weakness,Ross Douthat, Lean Right,"Recently, James Carville, the unfrozen Clintonite of Democratic politics, stirred a predictable controversy by complaining about “wokeness” in an interview..."
Bridging Divides - moderate,2,3,Are Democrats Too Woke for Voters?,Jonathan Bernstein,moderate,"Possibly. But the reality is that slogans and rhetoric make very little difference in elections.

Tuesday’s big flap was an interview at Vox with James..."
Bridging Divides- Left,2,2,How a Stephen Miller Fox News Appearance Launched the “Border Crisis”,Slate, Left,"Is there a crisis at the U.S.–Mexico border? It depends on your definition of crisis.

The monthly number of individuals being apprehended there for..."
Bridging Divides- Lean Right,2,4,"Rubio: Biden's Rhetoric, 1st-Day Policies Created Border Crisis",Newsmax (News), Lean Right,"President Joe Biden's rhetoric both before and after he took office, as well as his first-day policies after he was sworn in, are what is driving the current..."
Bridging Divides - moderate,2,3,Perspectives: James Carville and the Language of 'Wokeness',AllSides Headline Roundup,moderate,"In an interview with Vox's Sean Illing published on April 27, Democratic strategist James Carville said the language of ""wokeness"" was a bad political strategy..."
Bridging Divides- Lean Left,2,1,The Secret History of the Shadow Campaign That Saved the 2020 Election,Time Magazine, Lean Left,"A weird thing happened right after the Nov. 3 election: nothing.

The nation was braced for chaos. Liberal groups had vowed to take to the streets, planning..."
Bridging Divides- Right,2,5,"Trump Tears Into Wall Street Journal, Georgia Republicans And Mitch McConnell In Lengthy Statement",The Daily Caller, Right,Former President Donald Trump blasted a Monday column from the Wall Street Journal Editorial Board in a lengthy statement distributed by his Save America PAC...
Bridging Divides - moderate,2,3,Biden moved left. But is he dividing or uniting the country?,AllSides Staff,moderate,"In our world where agreement, especially among the politically fractured media, is rare, there seems to be a general consensus on one thing: President Joe..."
Campaign Finance- Lean Left,3,1,Biden-successor chatter grows and Harris isn’t scaring off anyone,Politico, Lean Left,President Joe Biden says he intends to run for reelection in 2024. But not all Democrats believe him. Nor are they convinced his No. 2 would be the clear heir...
Campaign Finance- Lean Right,3,4,"Kamala Harris sidelined amid growing tensions with Biden, insiders say",New York Post (News), Lean Right,Vice President Kamala Harris feels increasingly isolated inside the White House as her approval ratings plummet — with...
Campaign Finance - moderate,3,3,White House Press Secretary Jen Psaki defended Kamala Harris after a report about 'exasperation and dysfunction' in the vice president's office,Insider,moderate,"White House Press Secretary Jen Psaki tweeted in defense of Vice President Kamala Harris hours after a critical report alleged ""exasperation and dysfunction""..."
Campaign Finance- Lean Left,3,1,Harris' office does damage control over student’s Israel 'ethnic genocide' comment,Politico, Lean Left,"Vice President Kamala Harris’ office is working behind the scenes to mend relationships with pro-Israel Democrats after not pushing back on a student who, in..."
Campaign Finance- Right,3,5,"Nearly half of voters say Biden worse president than expected, most don't want to see him run again: poll",Fox News (Online News), Right,"With exactly one year until the midterm elections, President Biden, Vice President Harris and Democrats in Congress face bleak ratings..."
