topic_id,bias_id,topic,title,source,bias,desc.
1,3,Abortion - moderate,"Four impeachments, zero removals: Sign of cracks in Constitution?",Christian Science Monitor,moderate,"A key check on presidential power doesn’t seem to be working the way the Founding Fathers envisioned. We look where a cycle of partisanship may head.

After..."
1,3,Abortion - moderate,"After deadly Capitol riot, Trump impeachment trial to open with fight on Constitution",Reuters,moderate,"Donald Trump’s historic second impeachment trial, on a charge of inciting last month’s deadly storming of the U.S. Capitol, opens on Tuesday with a debate over..."
1,3,Abortion - moderate,Is it time to get rid of the filibuster?,Yahoo! The 360,moderate,"Democrats hold a legislative trifecta — majorities in both houses of Congress, plus the presidency — for the first time since the beginning of the Obama..."
1,3,Abortion - moderate,"Electoral College: Reform it, replace it or keep it?",Yahoo! The 360,moderate,"The members of the Electoral College on Monday cast their votes to affirm Joe Biden’s win in the 2020 presidential election, delivering a decisive blow to..."
1,3,Abortion - moderate,Could President Trump try pardoning himself?,Yahoo! The 360,moderate,President Trump’s decision to pardon former national security adviser Michael Flynn has fueled speculation that Trump may be gearing up to issue a wave of...
2,3,Bridging Divides - moderate,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...
2,3,Bridging Divides - moderate,Midterm-Election Ad Spending Poised to Soar as Streaming TV Attracts Campaigns,Wall Street Journal (News),moderate,"A top advertising-industry observer expects elections this year and next will see political ad expenditures of roughly $9 billion, more than doubling the..."
2,3,Bridging Divides - moderate,Are Democrats Too Woke for Voters?,Jonathan Bernstein,moderate,"Possibly. But the reality is that slogans and rhetoric make very little difference in elections.

Tuesday’s big flap was an interview at Vox with James..."
2,3,Bridging Divides - moderate,Perspectives: James Carville and the Language of 'Wokeness',AllSides Headline Roundup,moderate,"In an interview with Vox's Sean Illing published on April 27, Democratic strategist James Carville said the language of ""wokeness"" was a bad political strategy..."
2,3,Bridging Divides - moderate,Biden moved left. But is he dividing or uniting the country?,AllSides Staff,moderate,"In our world where agreement, especially among the politically fractured media, is rare, there seems to be a general consensus on one thing: President Joe..."
3,3,Campaign Finance - moderate,White House Press Secretary Jen Psaki defended Kamala Harris after a report about 'exasperation and dysfunction' in the vice president's office,Insider,moderate,"White House Press Secretary Jen Psaki tweeted in defense of Vice President Kamala Harris hours after a critical report alleged ""exasperation and dysfunction""..."
3,3,Campaign Finance - moderate,West Wing Reportedly Frustrated with VP Harris,AllSides Headline Roundup,moderate,Reports across the spectrum have detailed frustration within the White House over purported dysfunction with Vice President Kamala Harris and her team....
3,3,Campaign Finance - moderate,"Joe Biden's Approval Rating Remains Dismal, Kamala Harris' Is Even Worse",Newsweek,moderate,President Joe Biden and Vice President Kamala Harris are continuing to suffer heavily in the polls following a week in which their party...
3,3,Campaign Finance - moderate,"We’re Tracking Trump’s And Harris’s Popularity Ahead Of The 2024 Presidential Election. (Yes, It’s Early.)",FiveThirtyEight,moderate,Former President Donald Trump ended his presidency more unpopular than any of the last 12 presidents at the end of their first terms and he is still...
3,3,Campaign Finance - moderate,Did Kamala Harris’ YouTube Show Feature Child Actors?,The Dispatch Fact Check,moderate,Following the premiere of the YouTube Originals series Get Curious with Vice President Harris—a show in which Vice President Kamala Harris...
4,3,Coronavirus - moderate,What are President Biden's challenges at the border?,BBC News,moderate,"US President Joe Biden entered the White House promising to tackle immigration challenges that have remained unsolved for decades.

Yet since he took office..."
4,3,Coronavirus - moderate,What’s happening at the U.S.-Mexico border in 7 charts,Pew Research Center,moderate,"The U.S. Border Patrol reported more than 1.6 million encounters with migrants along the U.S.-Mexico border in the 2021 fiscal year, more than quadruple the..."
4,3,Coronavirus - moderate,"US-Canada border: After 19 months, families to reunite",BBC News,moderate,"On 8 November, the US-Canadian border will open both ways to non-essential travel for the first time in 19 months. The closure has kept thousands of bi-..."
4,3,Coronavirus - moderate,US Lifts Travel Ban For Vaccinated Foreigners,AllSides Headline Roundup,moderate,"The US lifted its international travel ban Monday for the first time since March 2020, allowing foreigners from 33 nations as well as passengers from Canada..."
4,3,Coronavirus - moderate,The U.S.-Mexico Border - Where Reality Clashes With American Idealism,Forbes,moderate,The continuing migrant saga at the U.S.—Mexico border seems to have boxed the Biden Administration into a corner where it is not effectively and humanely...
5,3,Criminal Justice - moderate,Poland blocks hundreds of migrants at Belarus border,BBC News,moderate,"Poland says it has repelled attempts by migrants to enter the country at its eastern border with Belarus, warning that thousands more were on the way.

Video..."
