topic_id,bias_id,topic,title,source,bias,desc.
1,1,Abortion- Lean Left,Biden’s Authority to Mandate Vaccines Stems From Law Protecting Workers From ‘Grave Dangers’,New York Times (News), Lean Left,President Biden’s far-reaching assertion of presidential authority to require vaccines for 80 million American workers relies on a first-of-its-kind...
1,1,Abortion- Lean Left,Could Trump Be ‘Reinstated’ as President in August 2021?,Snopes, Lean Left,"On June 1, 2021, New York Times reporter Maggie Haberman tweeted that former President Donald “Trump has been telling a number of people he’s in..."
1,1,Abortion- Lean Left,Trump’s lawyers and the Constitution,Associated Press Politics & Fact Check, Lean Left,Lawyers for Donald Trump stretched beyond the facts when they argued there’s an open-and-shut case that the Constitution bars impeaching former presidents....
1,1,Abortion- Lean Left,Impeachment: Republicans say ex-President Trump can't be tried but many experts disagree,USA TODAY, Lean Left,"When the Senate gathers Tuesday for the second impeachment trial of former President Donald Trump, Republicans are expected to hammer away at a longstanding..."
1,2,Abortion- Left,Is it constitutional to hold an impeachment trial for a former president?,Vox, Left,"No one knows whether the Constitution permits the Senate to hold an impeachment trial for former President Donald Trump, now that he no longer holds office..."
2,1,Bridging Divides- Lean Left,"Menace, as a Political Tool, Enters the Republican Mainstream",New York Times (News), Lean Left,"Threats of violence have become commonplace among a significant part of the party, as historians and those who study democracy warn of a dark shift in American..."
2,1,Bridging Divides- Lean Left,You Don’t Have to Be Woke to Dislike Anti-Woke Democrats,Ed Kilgore, Lean Left,"If you have been anywhere within range of conservative talking points on either side of the Atlantic during the past few months, you are surely aware that “..."
2,2,Bridging Divides- Left,"100 Days of Big, Bold, Partisan Change",Ezra Klein, Left,I intended to duly fulfill my duty as a political columnist and write about the first 100 days of Joe Biden’s presidency. My idea was to focus on the 50 Senate...
2,2,Bridging Divides- Left,How a Stephen Miller Fox News Appearance Launched the “Border Crisis”,Slate, Left,"Is there a crisis at the U.S.–Mexico border? It depends on your definition of crisis.

The monthly number of individuals being apprehended there for..."
2,1,Bridging Divides- Lean Left,The Secret History of the Shadow Campaign That Saved the 2020 Election,Time Magazine, Lean Left,"A weird thing happened right after the Nov. 3 election: nothing.

The nation was braced for chaos. Liberal groups had vowed to take to the streets, planning..."
3,1,Campaign Finance- Lean Left,Biden-successor chatter grows and Harris isn’t scaring off anyone,Politico, Lean Left,President Joe Biden says he intends to run for reelection in 2024. But not all Democrats believe him. Nor are they convinced his No. 2 would be the clear heir...
3,1,Campaign Finance- Lean Left,Harris' office does damage control over student’s Israel 'ethnic genocide' comment,Politico, Lean Left,"Vice President Kamala Harris’ office is working behind the scenes to mend relationships with pro-Israel Democrats after not pushing back on a student who, in..."
3,2,Campaign Finance- Left,Harris Trip To Vietnam Delayed After Possible ‘Health Incident’ In Hanoi,HuffPost, Left,Vice President Kamala Harris was delayed from departing on a trip to Vietnam after the State Department issued a warning of a “possible anomalous health...
3,1,Campaign Finance- Lean Left,Harris uses convening power to expand her political network,Politico, Lean Left,"The vice president is building relationships with a wide array of Democratic allies, which she could leverage in the administration — and a future presidential..."
3,1,Campaign Finance- Lean Left,What Kamala Harris’ Law School Years Reveal About Her Politics,Politico, Lean Left,"The signs in downtown San Francisco that day, outside of the University of California Hastings College of the Law, might as well have been plucked from today’s..."
4,1,Coronavirus- Lean Left,Biden to host leaders of Canada and Mexico at White House next week,CBS News (Online), Lean Left,President Biden will host Canadian Prime Minister Justin Trudeau and Mexican President Andrés Manuel López Obrador at the White House next week for the first...
4,1,Coronavirus- Lean Left,U.S. lifts travel ban on 33 countries as Europe cases surge,Washington Post, Lean Left,As the United States reopens its international borders Monday to travelers from 33 countries who have proof of vaccination and a recent negative ...
4,1,Coronavirus- Lean Left,Border apprehensions hit yearly high as another migrant caravan gathers in Mexico,NBC News (Online), Lean Left,"Apprehensions of undocumented migrants crossing the southern U.S. border passed 1.7 million in fiscal year 2021 to hit an all-time high, according to Customs..."
4,2,Coronavirus- Left,Biden Is About to Restart One of the Cruelest Parts of Trump’s Anti-Immigrant Regime,Mother Jones, Left,"Under a court-mandated order, the Biden administration is gearing up to bring back a Trump-era border policy that pushed thousands of non-Mexican asylum..."
4,2,Coronavirus- Left,US will re-open Canadian and Mexican borders to fully vaccinated visitors,CNN (Online News), Left,"The United States plans to ease restrictions on travel for fully vaccinated visitors from Canada and Mexico starting in early November, relaxing bans that have..."
