topic_id,bias_id,topic,title,source,bias,desc.
1,4,Abortion- Lean Right,When Is a Constitutional Right Not a Right?,Wall Street Journal (Opinion), Lean Right,"If you want to carry a firearm in New York state, you need to convince a local official that you have “proper cause.” That’s easy in some counties but almost..."
1,4,Abortion- Lean Right,Why Didn't COVID-19 Kill the Constitution?,Reason, Lean Right,"We can thank judges who were prepared to enforce constitutional limits on public health powers.

The day after the nation's first COVID-19 lockdown took..."
1,4,Abortion- Lean Right,Top Trump allies begin legal effort to stop federal government from trampling on constitutional rights,Washington Examiner, Lean Right,"Allies of former President Donald Trump are launching a legal team whose mission is to stop ""big tech, big media and big government"" from trampling on the..."
1,5,Abortion- Right,Policing Speech,City Journal, Right,"Amid a staggering wave of gun violence in New York City, with shootings this year measuring 42 percent higher than the same period in 2020, Mayor Bill de..."
1,5,Abortion- Right,Schiff's Defense of Impeachment Comes From....British History,Townhall, Right,"Lawyers for former President Trump will challenge the constitutionality of impeaching a private citizen in the trial that is set to begin Tuesday.

“The..."
2,5,Bridging Divides- Right,"Joe Biden breaks 'ambitious' campaign promise to address student loans, proposal missing from budget",TheBlaze.com, Right,"President Joe Biden is breaking one of his central campaign promises, surely upsetting progressives who wanted Biden to unilaterally cancel the massive bill of..."
2,5,Bridging Divides- Right,"‘People Are Going To Be Very, Very Happy When I Make A Certain Announcement!’ Donald Trump Hints At 2024 Run",The Daily Wire, Right,One question at the forefront of the minds of supporters and critics alike of former President Donald Trump is whether he will return to the campaign trail and...
2,4,Bridging Divides- Lean Right,When Wokeness Becomes Weakness,Ross Douthat, Lean Right,"Recently, James Carville, the unfrozen Clintonite of Democratic politics, stirred a predictable controversy by complaining about “wokeness” in an interview..."
2,4,Bridging Divides- Lean Right,"Rubio: Biden's Rhetoric, 1st-Day Policies Created Border Crisis",Newsmax (News), Lean Right,"President Joe Biden's rhetoric both before and after he took office, as well as his first-day policies after he was sworn in, are what is driving the current..."
2,5,Bridging Divides- Right,"Trump Tears Into Wall Street Journal, Georgia Republicans And Mitch McConnell In Lengthy Statement",The Daily Caller, Right,Former President Donald Trump blasted a Monday column from the Wall Street Journal Editorial Board in a lengthy statement distributed by his Save America PAC...
3,4,Campaign Finance- Lean Right,"Kamala Harris sidelined amid growing tensions with Biden, insiders say",New York Post (News), Lean Right,Vice President Kamala Harris feels increasingly isolated inside the White House as her approval ratings plummet — with...
3,5,Campaign Finance- Right,"Nearly half of voters say Biden worse president than expected, most don't want to see him run again: poll",Fox News (Online News), Right,"With exactly one year until the midterm elections, President Biden, Vice President Harris and Democrats in Congress face bleak ratings..."
3,5,Campaign Finance- Right,White House Announces Plan To Open Up Union Options To Federal Employees,One America News Network (OAN), Right,"As strikes sweep across the U.S., Kamala Harris is encouraging more federal employees to join unions. She elaborated on the policies in a Labor Task Force..."
3,5,Campaign Finance- Right,Harris Holds Double Standard On Abortions And Vaccinations,One America News Network (OAN), Right,"Kamala Harris delivered remarks on personal rights on abortions during a women’s reproductive rights roundtable, but failed to link the point to the issue of..."
3,4,Campaign Finance- Lean Right,"George W. Bush, Kamala Harris point to unity after 9/11 in memorial speeches",New York Post (News), Lean Right,"The chimes of the Bells of Remembrance at the memorial service for the victims and heroes of Flight 93 in Shanksville, PA, was followed Saturday by a..."
4,4,Coronavirus- Lean Right,Lines of cars wait to enter US as pandemic travel ban is lifted,New York Post (News), Lean Right,The US reopened its borders Monday after 20 months of travel restrictions — immediately creating wild miles-long lines of cars waiting to cross over from...
4,5,Coronavirus- Right,Border Arrests Hit All-Time High,National Review, Right,U.S. authorities detained more than 1.7 million illegal immigrants at the southern border during the 2021 fiscal year that ended in September as arrests by...
4,5,Coronavirus- Right,Biden Admin Will Reinstate Tump’s Remain In Mexico Policy In November,The Daily Caller, Right,"The Biden administration is planning to reinstate former President Donald Trump’s “Remain in Mexico” policy in November, CBS News reported on Friday.

A..."
4,5,Coronavirus- Right,US to reopen land borders next month for fully vaccinated,Fox News (Online News), Right,"After a 19-month freeze due to the COVID-19 pandemic, the U.S. is set to announce that it will reopen land borders with Canada and ..."
4,5,Coronavirus- Right,REPORT: Biden Might Keep ‘More Humane’ Version Of Trump Immigration Policy,The Daily Caller, Right,"President Joe Biden is reportedly considering revamping former President Donald Trump’s “Remain in Mexico” policy into “a more humane version,” multiple people..."
5,4,Criminal Justice- Lean Right,"Italy Mandates All Workers to Show COVID-19 ‘Green Pass,’ Prompting Protests",The Epoch Times, Lean Right,"The Italian government imposed one of the world’s strictest COVID-19 measures on Friday, requiring all workers in Italy to show a COVID-19..."
5,5,Criminal Justice- Right,UK Government Approves Coronavirus Vaccines for 12 to 15 Year Olds to ‘Reduce Disruption’ in Schools,Breitbart News, Right,The UK’s chief medical officer announced on Monday that children from the ages of 12 to 15 years old will be offered coronavirus vaccines in England....
5,5,Criminal Justice- Right,Thousands of anti-vaccine pass protestors take to streets of Paris - hours after neighbouring Italy starts demanding digital certificate to enter gyms and restaurants,Daily Mail, Right,Protesters took to the streets across France on Saturday for the fourth weekend in a row to rally against a new health pass needed to enter a cafe or...
5,5,Criminal Justice- Right,Death toll from Europe floods tops 150 as water recedes,Breitbart News, Right,The death toll from disastrous flooding in Western Europe rose above 150 on Saturday as rescue workers toiled to clear up the devastation revealed by receding...
5,5,Criminal Justice- Right,He Was Murdered Over a Lie: What the Killing of Samuel Paty Means for Free Expression,The Daily Signal, Right,"Samuel Paty was decapitated on Oct. 16, 2020, outside the middle school in a north Paris suburb where he had taught history and civics for five years. The..."
6,4,Education- Lean Right,"Vaccine Mandate Threatens Major Trucking Disruption, Industry Insiders Say",The Epoch Times, Lean Right,American truckers don’t like taking orders. But the Biden administration has increased pressure on some of them to take the vaccine—willing or unwilling....
6,4,Education- Lean Right,White House Orders Temporary Lift in Cargo Weight Capacity for Trucks,The Epoch Times, Lean Right,"President Joe Biden plans to sign an executive order to temporarily lift weight limits so trucks can carry more cargo, White House Press Secretary..."
6,4,Education- Lean Right,"UPS, FedEx, Walmart commit to 24/7 hours to alleviate LA port crunch",New York Post (News), Lean Right,"The White House says the Port of Los Angeles, UPS, FedEx and Walmart will commit to 24/7 work hours to alleviate a supply-chain crunch that threatens to leave..."
6,4,Education- Lean Right,"UPS, FedEx, Walmart commit to 24/7 hours to alleviate LA port crunch",New York Post (News), Lean Right,"The White House says the Port of Los Angeles, UPS, FedEx and Walmart will commit to 24/7 work hours to alleviate a supply-chain crunch that threatens to leave..."
6,5,Education- Right,"Biden to Address Supply Chain Logjam: Expanded Port Hours, Extra Shifts for Longshoremen",CNSNews.com, Right,"As supply chain disruptions make national headlines, leaving American businesses with fewer imported products to sell, President Biden today will meet with..."
7,5,Elections- Right,"In ‘Deep Blue’ New York, Voters Reject Democrats’ Push for Election Changes",The Daily Signal, Right,"In one of the bluest states in the nation, voters soundly rejected proposed changes to election law that congressional Democrats are trying to impose..."
7,4,Elections- Lean Right,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in..."
7,5,Elections- Right,Justice Department sues Texas over election integrity legislation,Fox News (Online News), Right,"The Department of Justice announced Thursday that it filed a lawsuit against Texas, targeting a state law that proponents say aims to make..."
7,4,Elections- Lean Right,Senate GOP blocks federal election law debate for fourth time this year,New York Post (News), Lean Right,"Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two..."
7,5,Elections- Right,"‘Our Broken Elections’: Who Broke Them and Why, and How to Fix Them",The Daily Signal, Right,"Election integrity is a fundamental requirement of a functioning democratic republic.

In the freest nation in the world, our system of government and our..."
8,5,Environment- Right,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in..."
