topic_id,topic,bias_id,type,title,desc,src,bias,link
0,Abortion,2,Opinion,It Doesn’t Exclude Women to Acknowledge Everyone Who Can Get Pregnant,"OPINION
To say that abortion bans, like those recently passed in Texas, are part of a war on women is true. But to say they are a war on women alone is to erase the harm experienced by the transgender, intersex, nonbinary and gender expansive individuals whose lives are also deeply impacted by access to abortion and reproductive healthcare. Even though US District Judge Robert Pitman noted in his short-lived stay of the Texas ban, “The court recognizes that not all pregnant people identify as women,” very few major media outlets have made any change in how...",FAIR,Lean Left,n/a
0,Abortion,2,News,‘Catastrophic implications’: UN health expert condemns US over threat to abortion rights,"The United Nations special rapporteur on the right to health has called on the US supreme court to uphold the right to abortion in America or risk undermining international human rights law and threatening that right elsewhere in the world. The special rapporteur, Dr Tlaleng Mofokeng, is one of just a handful of global observers whose mandate is to travel the world defending human rights. Mofokeng has argued in a brief filed in a US court that overturning abortion rights would violate international human rights treaties ratified by the US, including the convention against torture,...",The Guardian,Lean Left,n/a
0,Abortion,2,News,NAACP urges pro athletes not to sign with teams in Texas over abortion and voting laws,"The NAACP is calling on professional athletes to reconsider signing with professional sports teams in Texas to protest the state's controversial voting and abortion laws.  In an open letter to the unions for the NBA, NFL, WNBA, MLB, and NHL, the NAACP urged athletes to consider the use of their platforms and positions as role models for kids across the country.  ""Over the past few months, legislators in Texas have passed archaic policies, disguised as laws, that directly violate privacy rights and a woman's freedom to choose, restrict access to free and...",CBS News (Online),Lean Left,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion2itemnum2.jpg
0,Abortion,1,News,The Supreme Court Won’t Halt Texas’s Abortion Ban While The Justices Decide If Anyone Can Sue,"The US Supreme Court will allow Texas’s six-week abortion ban to remain in effect for now, with a majority of the justices rejecting the Justice Department’s push to immediately pause enforcement of the law while constitutional challenges work through the lower courts. The order, which Justice Sonia Sotomayor dissented from, leaves intact a decision earlier this month by a federal appeals court that revived the law, SB 8, two days after a judge in Austin blocked it. It means that healthcare providers in Texas will remain barred from performing nearly all...",BuzzFeed News,Left,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion1itemnum3.jpg
0,Abortion,1,Opinion,Ending Roe Could Send More Women to Prison for Miscarrying,"OPINION
The number of women in prison has skyrocketed over the last 40 years. Despite critical state level criminal justice reforms designed to keep people out of prison, both sexes have not benefited equally. Women currently go to prison at twice the rate of men. And now, a new threat to the over-prosecution and incarceration of women looms large in the, perhaps, unexpected forum of reproductive rights. This year alone, state legislators have introduced nearly 600 abortion restrictions, with more than 90 becoming law, according to Planned Parenthood. Some of these laws,...",Slate,Left,n/a
0,Abortion,1,Opinion,Texas’s anti-abortion law is back at SCOTUS. Here’s what’s different this time around.,"OPINION
On October 14, the conservative United States Court of Appeals for the Fifth Circuit formally blocked a trial court’s decision halting SB 8, a Texas law banning most abortions in that state. On Monday, the US Justice Department, which sued to halt the Texas law, sought review of the Fifth Circuit’s thinly reasoned, single-paragraph order in the Supreme Court. The Supreme Court, where Republican appointees hold a 6-3 supermajority, is unlikely to do anything to restore abortion rights in Texas. Last month, a 5-4 Court handed down its own thinly reasoned, single-paragraph order permitting the Texas law to take effect....",Vox,Left,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion1itemnum6.png
0,Abortion,1,News,Texas’s Six-Week Abortion Ban Is Back On After An Appeals Court Paused A Judge’s Injunction,"Texas's six-week abortion ban is at least temporarily back in effect as of Friday night after a federal appeals court paused a lower court order from earlier this week that had halted enforcement of the law. The order from a three-judge panel of the US Court of Appeals for the 5th Circuit, granting what’s known as an “administrative stay,” isn’t permanent — the court will now decide whether to grant Texas’s request for a longer-term hold that would keep the law, SB 8, in effect while the state appeals its...",BuzzFeed News,Left,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion1itemnum7.jpg
0,Abortion,2,News,"Back on the Bench, the Supreme Court Faces a Blockbuster Term","A transformed Supreme Court returns to the bench on Monday to start a momentous term in which it will consider eliminating the constitutional right to abortion, vastly expanding gun rights and further chipping away at the wall separating church and state. The abortion case, a challenge to a Mississippi law that bars most abortions after 15 weeks, has attracted the most attention. The court, now dominated by six Republican appointees, seems poised to use it to undermine and perhaps overturn Roe v. Wade, the 1973 decision that established a constitutional right to...",New York Times (News),Lean Left,n/a
0,Abortion,1,Opinion,Abortion Has Never Been Just About Abortion,"OPINION
As recently as 1984, abortion was not a deeply partisan issue. “The difference in support for the pro-choice position was a mere six percentage points,” Alan Abramowitz, a political scientist at Emory University, told me by email. “40 percent of Democratic identifiers were pro-life, while 39 percent were pro-choice. Among Republican identifiers, 33 percent were pro-choice, 45 percent were pro-life and 22 percent were in the middle.” By 2020, Abramowitz continued, 73 percent of Democratic identifiers took the pro-choice position, while only 17 percent took the pro-life position, with 10 percent...",New York Times (Opinion),Left,n/a
0,Abortion,1,News,Florida Gov. Ron DeSantis Has Issues With Incentivizing Abortion Lawsuits,"Florida Gov. Ron DeSantis and state Senate President Walton Simpson are backing away from a key component of the Texas abortion ban after Florida state lawmakers announced that they would consider passing a similar bill. Florida Republicans plan to take up their own anti-abortion legislation early next year, but DeSantis has expressed some hesitation about details of the Texas bill, which provides financial incentives to private citizens who file suit against anyone assisting someone with an abortion. As it stands, private citizens in Texas can sue anyone involved in terminating a pregnancy...",BuzzFeed News,Left,n/a
