topic_id,topic,bias_id,type,title,desc,src,bias,link
0,Abortion,5,Opinion,"If Kavanaugh And Barrett Betray Pro-Lifers, We Must Blow Up The Conservative Legal Movement","OPINION
If we don't have justices who are comfortable overturning outrageously unconstitutional abortion rulings, it will be proof of the conservative legal movement's utter failure. Less than a handful of years after their hard-won elevation to the Supreme Court, Justices Brett Kavanaugh and Amy Coney Barrett are sending a chill down the spines of conservatives with a string of bad signals from their seats on the court. In July, Kavanaugh and Barrett joined the court’s leftist majority in declining to hear Arlene’s Flowers v. Washington, a critical religious liberty case. They again sided with...",The Federalist,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum0.png
0,Abortion,5,Opinion,Biden’s Visit to the Vatican,"OPINION
In the days of John F. Kennedy, the Democrats emphasized their political distance from the pope. Kennedy promised Americans that he would never let the pope influence him on “matters of public policy.” How times have changed. Today’s Democrats boast of their political alliance with Pope Francis. They openly confer with him on matters of public policy, as evident in Joe Biden’s latest visit to the Vatican. After he met with the pope last Friday, Biden praised him for “fighting the climate crisis, as well as his advocacy to ensure the pandemic...",The American Spectator,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum1.png
0,Abortion,4,News,Antifa crashes Texas college's pro-life prayer vigil: 'F*ck your God!',"On Monday night in Denton, Texas, a pro-life vigil was underway when it was crashed by hundreds of Antifa protestors, who attempted to drown the event out. In the video, the pro-life activists who gathered for the event were chanting ""Christ is King,"" to which the Antifa counter protestors started shouting ""F*ck your God."" The pro-life prayer vigil was led on campus Monday by the local Young Conservatives of Texas (YCT) chapter at the University of North Texas (UNT). According to Fox News, Kelly Neidert, founder of the YCT chapter at UNT,...",The Post Millennial,Lean Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum2.jpg
0,Abortion,4,Opinion,Is the pro-life movement prepared to win?,"OPINION
After being given a huge nudge from the Supreme Court declining to block Texas’ new restrictions on abortion, the main topic of conversation in the pro-life movement today is the possibility of Roe v. Wade being overturned or weakened. When the court rules on the Dobbs v. Jackson Women’s Health Organization case in the coming months, many in the movement are hopeful for a big legal win. But is the pro-life movement prepared to win? An important lesson Americans must learn from our history is that legal victories without accompanying...",Deseret News,Lean Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum3.png
0,Abortion,5,News,Biden Says He Would Sign Reconciliation Bill With or Without Hyde Amendment,"President Biden said Tuesday that he will sign off on Democrats’ massive social-spending package regardless of whether it includes the Hyde amendment, a stipulation that prohibits taxpayer money from funding abortions.
A reporter asked the president if he is “okay” if the Hyde Amendment is in the reconciliation bill, to which Biden responded, “I want to get the bill passed.”",National Review,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum4.jpg
0,Abortion,4,News,Marjorie Taylor Greene gets in shouting match with Dem lawmakers on Capitol steps,"Rep. Marjorie Taylor Greene on Friday sparked a shouting match with a pair of Democratic lawmakers outside the Capitol, prompting one of them to scream that the far-right politician should practice the biblical principle of loving one’s neighbor, videos show.
After the House passed a bill codifying the landmark Roe v. Wade abortion rights case — a move made in response to the Supreme Court ruling on Texas’ anti-abortion law — the outspoken Republican heckled Democrats holding a celebratory press conference on their legislative victory.",New York Post (News),Lean Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum5.jpg
0,Abortion,5,News,New York Governor Asks Facebook to Censor Pro-Life ‘Misinformation’ About Abortion,"New York’s brand new governor wants Facebook to censor pro-life “misinformation” about abortion. New York Gov. Kathy Hochul, a Democrat, sent a letter Monday to Facebook CEO Mark Zuckerberg requesting that the social media giant increase efforts to censor pro-life “misinformation” in light of Texas’ new law banning abortions after babies’ heartbeats can be detected. Hochul, who took office in late August after former Gov. Andrew Cuomo resigned over numerous #MeToo allegations, expressed concern that viral Facebook posts about the Texas Heartbeat Act will make women who seek abortions feel...",The Daily Signal,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum7.jpg
0,Abortion,4,News,DOJ seeks emergency block of Texas abortion law,"The Biden Justice Department wants a federal judge to temporarily block Texas’ abortion law, arguing it is a “severe intrusion” on women’s constitutional rights. The Department of Justice on Tuesday night filed an emergency motion for a temporary restraining order and a preliminary injunction in the U.S. District Court for Western Texas. In the 49-page complaint, the DOJ said Texas’ ban on abortions after a fetal heartbeat is detected, which typically occurs about six weeks into a pregnancy, unlawfully curtails women’s reproductive rights. The law bans most pre-viability abortions, including in instances of rape or incest,...",Washington Times,Lean Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum8.jpg
0,Abortion,5,News,Harris Holds Double Standard On Abortions And Vaccinations,"Kamala Harris delivered remarks on personal rights on abortions during a women’s reproductive rights roundtable, but failed to link the point to the issue of vaccinations. According to Harris, abortion was a right protected by the Constitution. Harris went on to say, “you have been leading on an issue that represents the voices of so many who deserve to be heard, deserve to be seen, and whose rights must be protected, and in particular, their constitutional rights and the right to dignity in making their own choices about their personal...",One America News Network (OAN),Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum8.jpg
0,Abortion,5,News,'I know you've never faced those choices - you've never been pregnant': Psaki snaps at Catholic TV's male reporter who asked why Biden 'supports abortion when his Catholic faith teaches it's wrong?',"White House press secretary Jen Psaki snapped at a male Catholic TV reporter questioning how President Biden squares his abortion views with his faith, telling him: 'I know you've never been pregnant.' 'Why does the President support abortion when his own catholic faith teaches it is morally wrong?' Owen Jensen, reporter for Catholic television network EWTN, asked the press secretary on Thursday afternoon. 'He believes it's a woman's right, it's a woman's body and it's her choice. It's up to a woman to make those decisions and a woman's decision to make with...",Daily Mail,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum11.png
0,Abortion,5,News,Supreme Court votes 5-4 to leave Texas abortion law in place,"A deeply divided Supreme Court is allowing a Texas law that bans most abortions to remain in force, for now stripping most women of the right to an abortion in the nation’s second-largest state. The court voted 5-4 to deny an emergency appeal from abortion providers and others that sought to block enforcement of the law that went into effect Wednesday. But the justices also suggested that their order likely isn't the last word on whether the law can stand because other challenges to it can still be brought. The Texas law, signed by Republican Gov. Greg Abbott in...",Fox News (Online News),Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum11.png
0,Abortion,5,News,House Democrats repeal amendment banning taxpayer funding for abortions overseas,"House Democrats on Wednesday voted to repeal a ban on U.S. taxpayer funding for elective abortions in foreign countries. The House voted 217-212 on a State Department and foreign assistance spending bill that, for the first time in more than half a century, did not include a provision know as the Helms Amendment, which blocks fundings for abortions. The bill, which no Republican supported, also repealed the Mexico City policy, a provision that blocks U.S. federal funding for non-governmental organizations that provide abortions overseas. All but three Democrats voted in favor of...",TheBlaze.com,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum13.jpg
0,Abortion,4,Opinion,America’s Class War Over Abortion,"OPINION
On Thursday, the state of Mississippi asked the Supreme Court to reverse Roe v. Wade. “Roe and Casey are egregiously wrong,” the state said in a brief submitted to the Court. “The conclusion that abortion is a constitutional right has no basis in text, structure, history, or tradition.” Mississippi was laying out its arguments in Dobbs v. Jackson Women’s Health Organization, a case that presents the best opportunity since Planned Parenthood v. Casey (1992) to unravel America’s abortion regime. Mississippi attorney general Lynn Fitch could have stopped short of asking for the reversal of Roe. But she...",The American Conservative,Lean Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum14.jpg
0,Abortion,5,News,"Planned Parenthood Spent $271 Million in Federal Funds Between 2016 and 2018, Audit Finds","Thirty-nine Planned Parenthood Federation of America affiliates together spent $271 million in federal grants from fiscal years 2016 to 2018, not counting Medicaid reimbursements, according to a new report from the Government Accountability Office, a nonpartisan research arm of Congress.
The amount of money, which is sometimes allocated years in advance, was not substantially affected by the transition from Democratic President Barack Obama to Republican President Donald Trump in January 2017. The totals were $88 million in 2016, $93 million in 2017, and $89 million in 2018.",The Daily Wire,Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion5itemnum15.jpg
0,Abortion,4,News,Mississippi Asks US Supreme Court to Overturn Abortion Rights Landmark Roe v. Wade,"The state of Mississippi on Thursday urged the U.S. Supreme Court in a major case set to be argued in its next term to overturn the landmark 1973 ruling that recognized that women have a constitutional right to obtain an abortion. Mississippi Attorney General Lynn Fitch, a Republican, said in papers filed with the court that the Roe v. Wade ruling and a subsequent 1992 decision that affirmed it were both ""egregiously wrong"" and that state legislatures should have more leeway to restrict abortion. The court has a 6-3 conservative...",Newsmax (News),Lean Right,/Users/greysonnewton/Desktop/txt-spch/youtube/youtube_ai/nlp/data/allsides_training_data/images/Abortion4itemnum16.png
